Classification,Cl,TDS,E.C,Na,T.H,NO3 ,Mg,RSC  meq  / L,Ca,SAR
4,50.0,701.44,1096.0,103.0,319.8848684,70.46136364,68.068,-1.797697368,16.0,2.503874402
2,20.0,135.68,212.0,22.0,59.98355263,22.54763636,9.724,-0.599671053,8.0,1.235033542
4,260.0,1135.36,1774.0,166.0,519.8519737,102.6722727,87.516,-4.797039474,64.0,3.165486046
3,50.0,254.72,398.0,35.93565348,119.9917763,1.99305,4.862,-0.151817865,40.0,1.426336413
3,50.0,407.68,637.0,63.72342624,179.9588816,1.10725,24.31,1.070892411,32.0,2.065307109
3,100.0,455.04,711.0,71.00984334,199.9671053,7.0864,19.448,-0.269806782,48.0,2.183290066
3,40.0,330.88,517.0,53.76548932,139.9835526,1.99305,9.724,0.866787839,40.0,1.975773977
4,270.0,989.44,1546.0,99.51565681,559.8519737,188.2325,87.516,-7.270733624,80.0,1.82863476
4,280.0,942.72,1473.0,119.9665707,479.9095395,93.67335,53.482,-4.943259503,104.0,2.380963386
4,190.0,775.04,1211.0,156.5653097,259.9424342,39.861,34.034,0.497377478,48.0,4.222105826
4,350.0,1187.84,1856.0,174.6639509,519.8519737,108.0676,87.516,-4.156606318,64.0,3.330700599
4,350.0,1263.36,1974.0,263.9425723,419.8848684,107.6247,68.068,-1.065254689,56.0,5.600367115
4,330.0,1066.88,1667.0,119.4802649,579.8190789,188.2325,106.964,-7.87255644,56.0,2.157357356
4,70.0,485.12,758.0,52.0,259.9259868,21.33972727,43.758,-0.798519737,32.0,1.402331395
3,80.0,433.92,678.0,84.0,199.9588816,12.28040909,24.31,0.400822368,40.0,2.582742449
4,170.0,803.2,1255.0,174.0,259.9424342,18.52127273,34.034,-1.798848684,48.0,4.692268135
3,60.0,337.92,528.0,40.0,239.9506579,43.48472727,29.172,-1.399013158,48.0,1.122719286
3,60.0,440.96,689.0,36.0,259.9424342,2.818454545,34.034,-0.798848684,48.0,0.970814097
4,30.0,513.28,802.0,92.85292624,199.9588816,14.1728,24.31,2.741027251,40.0,2.854942787
4,90.0,538.24,841.0,65.52229149,279.9506579,20.59485,29.172,-0.434993748,64.0,1.702630839
4,110.0,697.6,1090.0,95.48600542,339.9177632,17.49455,48.62,0.337581688,56.0,2.251774824
4,130.0,514.56,804.0,56.94063963,279.9342105,19.9305,38.896,-1.834948766,48.0,1.479675616
4,280.0,928.0,1450.0,105.2190557,499.8684211,101.867,77.792,-5.618946658,72.0,2.046155867
1,400.0,1324.8,2070.0,201.693798,599.8519737,143.9425,87.516,-5.814117227,96.0,3.580491623
4,130.0,864.0,1350.0,100.9264493,459.8766447,26.574,72.93,-0.427206974,64.0,2.046239583
4,170.0,556.8,870.0,74.57495511,259.9671053,29.89575,19.448,-2.258452531,72.0,2.01097173
4,150.0,531.2,830.0,72.73548026,259.9424342,20.15195,34.034,-1.870300461,48.0,1.961461933
4,320.0,1101.44,1721.0,138.4252969,559.8684211,201.5195,77.792,-7.017054433,96.0,2.543575549
3,40.0,456.96,714.0,63.58111447,219.9588816,24.8024,24.31,0.93305745,48.0,1.863929787
4,170.0,838.4,1310.0,91.93025039,459.8601974,155.015,82.654,-3.897338183,48.0,1.863878919
3,30.0,224.0,350.0,25.34785991,119.9835526,13.7299,9.724,-0.127123313,32.0,1.006126537
3,30.0,244.48,382.0,22.0852428,139.9753289,2.87885,14.586,-0.076825506,32.0,0.811612251
3,80.0,454.4,710.0,44.80065673,259.9424342,37.6465,34.034,-1.303888044,48.0,1.20814192
3,40.0,243.84,381.0,21.8373952,139.9835526,2.43595,9.724,-0.361755018,40.0,0.802480508
4,50.0,556.8,870.0,80.39848452,259.9671053,9.07945,19.448,1.607189842,72.0,2.168007735
4,120.0,694.4,1085.0,158.9467674,199.9588816,12.62265,24.31,2.758822852,40.0,4.887125755
1,460.0,1440.0,2250.0,189.9321594,719.9013158,54.9196,58.344,-6.626937161,192.0,3.077755998
3,30.0,263.68,412.0,19.80130163,159.9753289,2.2145,14.586,-0.127444553,40.0,0.680674369
4,240.0,1067.52,1668.0,99.84615619,619.9506579,143.0567,29.172,-5.544478858,200.0,1.743512044
4,50.0,672.64,1051.0,105.5447845,299.9671053,50.71205,19.448,1.802661271,88.0,2.649550036
4,200.0,903.04,1411.0,151.7265771,379.9013158,38.0894,58.344,-0.071069954,56.0,3.384530448
2,20.0,153.6,240.0,19.0,79.97532895,79.35580223,14.586,-0.199506579,16.0,0.923735741
3,30.0,217.6,340.0,33.0,99.98355263,9.8080205,9.724,0.400328947,24.0,1.434900615
4,250.0,1031.68,1612.0,223.0,339.9013158,10.69965873,58.344,0.801973684,40.0,5.258968919
4,150.0,677.76,1059.0,69.39478669,359.9342105,101.20265,38.896,-2.957053844,80.0,1.590330711
4,210.0,1007.36,1574.0,73.42677121,619.9013158,73.5214,58.344,-4.204556422,152.0,1.282228177
4,320.0,1271.04,1986.0,82.90497879,819.7861842,137.52045,126.412,-8.403516839,120.0,1.258932598
4,130.0,944.0,1475.0,84.12445627,559.8601974,58.24135,82.654,-1.460508979,88.0,1.545804751
4,130.0,831.36,1299.0,135.3795653,359.9013158,52.2622,58.344,0.82498889,48.0,3.102655538
4,240.0,1018.88,1592.0,130.537583,519.9013158,108.73195,58.344,-3.570445587,112.0,2.489128244
4,80.0,748.16,1169.0,13.34107229,559.8848684,104.5244,68.068,-3.852833157,112.0,0.245139636
4,150.0,823.68,1287.0,21.71424667,599.8273026,85.4797,102.102,-5.087894258,72.0,0.385481745
4,130.0,647.68,1012.0,77.89601718,339.9177632,13.46416,48.62,-1.141967438,56.0,1.836963329
3,40.0,275.2,430.0,33.75748878,139.9917763,0.8858,4.862,0.064847175,48.0,1.24048362
4,310.0,1128.96,1764.0,115.1167124,639.9013158,34.878375,58.344,-6.764171099,160.0,1.978581939
4,200.0,901.76,1409.0,114.6073525,459.9177632,39.19665,48.62,-2.334056045,104.0,2.323510034
4,320.0,1171.2,1830.0,175.8569102,539.9342105,48.719,38.896,-3.137484509,152.0,3.290494579
4,60.0,744.32,1163.0,102.959453,359.9095395,94.55915,53.482,0.598461833,56.0,2.359618061
4,130.0,743.04,1161.0,112.0377129,339.8930921,58.68425,63.206,-0.312326398,32.0,2.64219721
4,180.0,947.2,1480.0,94.43889745,539.8601974,198.19775,82.654,-4.834441317,80.0,1.767186632
4,60.0,526.72,823.0,23.38753429,359.9259868,133.7558,43.758,-3.129176638,72.0,0.535981746
4,150.0,794.24,1241.0,57.93682515,499.9753289,7.5293,14.586,-2.79432026,176.0,1.126555441
3,60.0,259.84,406.0,37.61758289,119.9917763,1.660875,4.862,-0.370101951,40.0,1.493094547
4,210.0,826.88,1292.0,96.02446958,439.9259868,24.58095,43.758,-2.930480796,104.0,1.990509581
4,200.0,844.8,1320.0,94.19945782,459.9259868,77.0646,43.758,-3.534368137,112.0,1.909750325
4,170.0,958.08,1497.0,216.7556348,279.9177632,2.6574,48.62,4.009953358,32.0,5.632838903
4,320.0,1232.64,1926.0,176.2833391,579.9424342,106.296,34.034,-3.832487078,176.0,3.182665443
4,210.0,903.04,1411.0,150.5274091,379.9506579,25.001705,29.172,-0.309659931,104.0,3.357562844
4,350.0,1130.88,1767.0,247.0493225,339.9259868,9.96525,43.758,0.16378961,64.0,5.825908343
4,200.0,865.28,1352.0,143.7238086,359.9588816,58.9057,24.31,-1.092035556,104.0,3.293627153
3,80.0,311.68,487.0,37.38850751,159.9753289,2.546675,14.586,-1.071174511,40.0,1.285238679
4,90.0,499.84,781.0,77.82966687,219.9671053,60.89875,19.448,-0.604322695,56.0,2.281594524
1,510.0,1452.8,2270.0,239.8172365,619.8930921,12.22404,63.206,-5.40024074,144.0,4.187879333
4,20.0,517.76,809.0,37.40802198,319.9342105,46.5045,38.896,-0.12026667,64.0,0.909298695
3,40.0,442.24,691.0,104.575608,119.9671053,3.63178,19.448,2.942454881,16.0,4.151179114
1,430.0,1523.2,2380.0,284.1420921,579.8519737,96.77365,87.516,-2.076259964,88.0,5.130375677
4,220.0,838.4,1310.0,87.13108243,459.9095395,9.07945,53.482,-3.038126411,96.0,1.766481381
4,270.0,798.72,1248.0,58.30705248,499.9177632,83.04375,48.62,-6.909154175,120.0,1.133819619
4,140.0,588.8,920.0,101.9702086,239.9588816,2.87885,24.31,-0.144050083,56.0,2.862048949
4,20.0,562.56,879.0,83.4421257,259.9671053,14.83715,19.448,2.574456388,72.0,2.250081889
4,60.0,748.8,1170.0,150.7620236,259.9095395,29.2314,53.482,4.054666595,16.0,4.06586554
4,350.0,1090.56,1704.0,180.0455177,459.9095395,192.88295,53.482,-5.85124811,96.0,3.650213517
4,190.0,1021.44,1596.0,111.6911638,559.8355263,144.16395,97.24,-3.725293888,64.0,2.052394078
4,240.0,1201.92,1878.0,215.3232932,479.8355263,42.0755,97.24,1.132061869,32.0,4.273827386
4,120.0,612.48,957.0,100.1396797,259.9506579,55.3625,29.172,-0.376665055,56.0,2.70042986
3,50.0,412.8,645.0,53.0,239.9342105,32.21090909,38.896,-0.598684211,32.0,1.48765404
3,40.0,418.56,654.0,61.0,239.9342105,46.10186364,38.896,-0.598684211,32.0,1.712205593
3,40.0,377.6,590.0,59.0,199.9424342,44.29,34.034,0.001151316,24.0,1.814143713
4,90.0,587.52,918.0,87.0,299.9095395,27.17795455,53.482,-1.398190789,32.0,2.184219483
3,60.0,354.56,554.0,63.0,179.9506579,34.42540909,29.172,-0.999013158,24.0,2.04190717
3,70.0,282.24,441.0,57.0,119.9753289,27.58059091,14.586,-0.799506579,24.0,2.262564897
3,20.0,285.44,446.0,41.0,139.9588816,7.650090909,24.31,0.800822368,16.0,1.506800616
3,70.0,396.8,620.0,69.0,219.9424342,43.88736364,34.034,-1.198848684,32.0,2.022864259
3,30.0,218.88,342.0,43.0,99.97532895,2.617136364,14.586,0.200493421,16.0,1.869795881
3,40.0,349.44,546.0,60.0,179.9506579,32.41222727,29.172,0.000986842,24.0,1.944673495
4,170.0,700.8,1095.0,148.0,359.8930921,182.7969091,63.206,-3.597861842,40.0,3.391931898
4,140.0,833.28,1302.0,79.85293591,479.9013158,209.27025,58.344,-4.489670196,96.0,1.58484605
4,250.0,1187.84,1856.0,171.5126738,559.9506579,162.5443,29.172,-3.121239135,176.0,3.151327228
4,230.0,750.72,1173.0,87.66690542,399.9177632,8.437245,48.62,-3.424574971,80.0,1.905998231
3,40.0,375.68,587.0,34.05380163,219.9753289,12.97697,14.586,-0.175523878,64.0,0.99827634
3,70.0,415.36,649.0,38.98749683,239.9588816,37.42505,24.31,-1.222537667,56.0,1.094281613
4,300.0,1137.92,1778.0,121.9907584,579.9177632,122.6833,48.62,-5.080796912,152.0,2.202499859
4,260.0,1228.16,1919.0,215.73876,499.8930921,38.75375,63.206,-1.748633811,96.0,4.195287948
4,260.0,898.56,1404.0,76.33240433,539.9342105,189.1183,38.896,-7.656289512,152.0,1.428271214
4,180.0,963.84,1506.0,107.1757466,519.9177632,186.23945,48.62,-4.027002157,128.0,2.043625691
4,140.0,743.04,1161.0,84.98350433,399.9342105,125.56215,38.896,-2.873728091,96.0,1.847619434
4,180.0,867.84,1356.0,111.5437787,439.8766447,79.2791,72.93,-2.061179789,56.0,2.312341986
4,160.0,644.48,1007.0,104.2529963,279.9671053,56.91265,19.448,-1.455858921,80.0,2.708988779
4,280.0,944.0,1475.0,157.598808,399.9671053,10.6296,19.448,-2.276991771,128.0,3.426201927
4,150.0,856.96,1339.0,70.41989156,519.8601974,65.9921,82.654,-2.768841438,72.0,1.342839885
4,200.0,799.36,1249.0,67.8796969,479.8684211,17.93745,77.792,-3.453378726,64.0,1.347258626
4,90.0,751.36,1174.0,104.6739926,359.9342105,41.41115,38.896,0.780487581,80.0,2.398829551
4,170.0,811.52,1268.0,80.5001113,459.9177632,105.18875,48.62,-3.552384737,104.0,1.632031561
